country,start,end
Afghanistan,1944,1950
Argentina,1945,1972
Australia,1941,1972
Austria,1928,1971
Bahamas,1989,1997
Barbados,1967,1977
Belgium,1928,1971
Belize,1989,NA
Bolivia,1919,1985
Botswana,1966,1974
Brazil,1928,1974
Bulgaria,1947,1949
Burkina Faso,1961,1973
Burkina Faso,1994,2018
Burma,1948,1950
Cambodia,1953,1958
Cambodia,1970,1975
Cameroon,1960,1971
Canada,1941,1970
Central African Republic,1962,1964
Central African Republic,1968,1976
Central African Republic,1991,1998
Ceylon,1948,1950
Chad,1962,1972
Chad,1997,2006
Chile,1915,1971
Colombia,1941,1980
Congo-Brazzaville,1960,1964
Costa Rica,1941,2007
Cuba,1913,1960
Cyprus,1960,1972
Czechoslovakia,1930,1949
Dahomey,1960,1965
Dahomey,1966,1973
Denmark,1928,1950
Dominica,1983,2004
Dominican Republic,1941,2018
Ecuador,1946,1971
Egypt,1942,1956
El Salvador,1941,2018
Estonia,1937,1940
Eswatini,1968,NA
Finland,1919,1944
France,1928,1964
Gabon,1960,1974
Gambia,1968,1974
Gambia,1995,2013
Germany (Federal Rep.),1955,1972
Greece,1929,1972
Grenada,1989,2005
Guatemala,1933,NA
Guinea-Bissau,1990,1998
Haiti,1956,NA
Holy See (Vatican City),1942,NA
Honduras,1941,2023
India,1947,1949
Iran,1920,1971
Iraq,1942,1958
Italy,1928,1970
Ivory Coast,1963,1983
Jamaica,1962,1972
Japan,1930,1937
Japan,1952,1972
Jordan,1957,1977
Kiribati,2003,2019
Kuwait,1963,1971
Laos,1958,1962
Latvia,1936,1940
Latvia,1992,1994
Lebanon,1954,1971
Lesotho,1966,1983
Lesotho,1990,1994
Liberia,1957,1977
Liberia,1989,1993
Liberia,1997,2003
Libya,1959,1978
Lithuania,1921,1940
Luxembourg,1949,1972
Macedonia,1999,2001
Madagascar,1960,1972
Malawi,1966,2008
Malaysia,1964,1974
Maldives,1966,1972
Malta,1967,1972
Marshall Islands,1998,NA
Mauritania,1960,1965
Mexico,1928,1971
Nauru,1980,2002
Nauru,2005,NA
Netherlands,1928,1950
New Zealand,1912,1972
Nicaragua,1930,1985
Nicaragua,1990,2021
Niger,1963,1974
Niger,1992,1996
Norway,1928,1950
Pakistan,1947,1950
Palau,1999,NA
Panama,1912,2017
Papua New Guinea,1999,1999
Paraguay,1957,NA
Peru,1913,1971
Philippines,1947,1975
Poland,1929,1949
Portugal,1928,1975
Romania,1939,1949
Rwanda,1962,1972
Saint Kitts and Nevis,1983,NA
Saint Lucia,1984,1997
Saint Lucia,2007,NA
Saint Vincent and the Grenadines,1981,NA
Saudi Arabia,1946,1990
Senegal,1960,1964
Senegal,1969,1972
Senegal,1996,2005
Sierra Leone,1963,1971
Solomon Islands,1983,2019
South Africa,1912,1998
South Korea,1949,1992
South Vietnam,1955,1975
Soviet Union,1929,1949
Spain,1928,1973
Sweden,1928,1950
Switzerland,1913,1950
São Tomé and Príncipe,1997,2016
Thailand,1946,1975
Togo,1960,1972
Tonga,1972,1998
Turkey,1934,1971
Tuvalu,1979,NA
United Kingdom,1928,1950
United States,1928,1979
Uruguay,1957,1988
Vanuatu,2004,2004
Venezuela,1941,1974
Western Samoa,1972,1975
Yugoslavia,1945,1955
Zaire,1960,1973
